date,open,high,low,close,volume,dividends,stock splits
2026-03-10 00:00:00-04:00,6799.25,6852.0,6762.25,6787.25,2314245,0.0,0.0
2026-03-11 00:00:00-04:00,6797.0,6822.75,6749.75,6779.5,1885828,0.0,0.0
2026-03-12 00:00:00-04:00,6768.0,6770.25,6671.75,6677.5,2302750,0.0,0.0
2026-03-13 00:00:00-04:00,6685.25,6737.5,6625.0,6636.0,2355818,0.0,0.0
2026-03-16 00:00:00-04:00,6610.0,6734.25,6606.0,6704.75,1014021,0.0,0.0
2026-03-17 00:00:00-04:00,6700.0,6757.5,6665.25,6721.75,287887,0.0,0.0
2026-03-18 00:00:00-04:00,6723.25,6762.25,6603.75,6626.0,242273,0.0,0.0
2026-03-19 00:00:00-04:00,6622.25,6644.5,6561.5,6609.25,272114,0.0,0.0
2026-03-20 00:00:00-04:00,6619.0,6635.0,6558.5,6594.6298828125,1886230,0.0,0.0
2026-03-23 00:00:00-04:00,6520.25,6748.0,6482.75,6634.75,2093053,0.0,0.0
2026-03-24 00:00:00-04:00,6633.25,6679.25,6573.5,6606.0,1878963,0.0,0.0
2026-03-25 00:00:00-04:00,6647.25,6684.75,6616.5,6640.75,1453059,0.0,0.0
2026-03-26 00:00:00-04:00,6641.0,6647.0,6517.0,6525.0,1500003,0.0,0.0
2026-03-27 00:00:00-04:00,6540.0,6568.5,6389.0,6412.25,1327533,0.0,0.0
2026-03-30 00:00:00-04:00,6379.75,6482.0,6359.5,6388.25,1466029,0.0,0.0
2026-03-31 00:00:00-04:00,6384.5,6583.0,6352.0,6570.75,1700566,0.0,0.0
2026-04-01 00:00:00-04:00,6563.0,6654.75,6560.75,6617.75,1316239,0.0,0.0
2026-04-02 00:00:00-04:00,6616.75,6644.5,6503.5,6622.25,1607396,0.0,0.0
2026-04-06 00:00:00-04:00,6590.25,6662.5,6566.75,6651.0,1270592,0.0,0.0
2026-04-07 00:00:00-04:00,6650.75,6673.75,6572.75,6656.75,1872790,0.0,0.0
2026-04-08 00:00:00-04:00,6677.25,6847.25,6675.0,6823.75,1562788,0.0,0.0
2026-04-09 00:00:00-04:00,6815.25,6876.0,6792.5,6863.25,1360201,0.0,0.0
2026-04-10 00:00:00-04:00,6860.0,6890.0,6846.25,6855.25,1161634,0.0,0.0
2026-04-13 00:00:00-04:00,6793.5,6929.25,6767.25,6922.75,1296770,0.0,0.0
2026-04-14 00:00:00-04:00,6925.25,7008.25,6920.25,7004.75,990999,0.0,0.0
2026-04-15 00:00:00-04:00,7003.75,7064.5,6992.0,7060.5,1097056,0.0,0.0
2026-04-16 00:00:00-04:00,7057.75,7089.0,7046.25,7077.0,1197240,0.0,0.0
2026-04-17 00:00:00-04:00,7077.75,7185.75,7075.25,7161.5,1326824,0.0,0.0
2026-04-20 00:00:00-04:00,7103.25,7160.5,7085.25,7148.0,1167338,0.0,0.0
2026-04-21 00:00:00-04:00,7152.0,7183.0,7085.0,7100.0,1599391,0.0,0.0
2026-04-22 00:00:00-04:00,7126.25,7173.0,7122.5,7171.25,1053984,0.0,0.0
2026-04-23 00:00:00-04:00,7163.5,7181.5,7079.75,7143.5,1810970,0.0,0.0
2026-04-24 00:00:00-04:00,7140.0,7200.5,7135.25,7194.75,1198671,0.0,0.0
2026-04-27 00:00:00-04:00,7185.0,7211.5,7171.25,7206.0,908765,0.0,0.0
2026-04-28 00:00:00-04:00,7205.75,7223.0,7146.25,7171.0,1218186,0.0,0.0
2026-04-29 00:00:00-04:00,7172.5,7191.0,7131.25,7168.0,1093402,0.0,0.0
2026-04-30 00:00:00-04:00,7147.25,7253.25,7133.75,7243.75,1401984,0.0,0.0
2026-05-01 00:00:00-04:00,7254.75,7300.75,7240.75,7258.0,1096044,0.0,0.0
2026-05-04 00:00:00-04:00,7275.25,7279.5,7199.25,7230.25,1403988,0.0,0.0
2026-05-05 00:00:00-04:00,7228.0,7304.25,7223.5,7287.25,793349,0.0,0.0
2026-05-06 00:00:00-04:00,7303.0,7395.75,7293.5,7389.5,1157611,0.0,0.0
2026-05-07 00:00:00-04:00,7381.5,7410.75,7345.5,7363.0,1449786,0.0,0.0
2026-05-08 00:00:00-04:00,7340.25,7428.25,7337.0,7419.0,1007949,0.0,0.0
2026-05-11 00:00:00-04:00,7403.75,7454.0,7390.5,7436.75,999938,0.0,0.0
2026-05-12 00:00:00-04:00,7435.25,7443.75,7363.25,7426.5,1407275,0.0,0.0
2026-05-13 00:00:00-04:00,7420.5,7483.75,7399.0,7469.5,1084568,0.0,0.0
2026-05-14 00:00:00-04:00,7477.25,7540.0,7471.0,7525.5,1148158,0.0,0.0
2026-05-15 00:00:00-04:00,7522.5,7528.25,7409.5,7432.25,1612312,0.0,0.0
2026-05-18 00:00:00-04:00,7410.25,7454.25,7372.75,7425.75,1612312,0.0,0.0
2026-05-19 00:00:00-04:00,7423.0,7440.75,7353.75,7358.25,881645,0.0,0.0
