date,killzone,symbol,direction,entry_price,sl,tp1,contracts,close_price,signal_est_pnl
2026-05-06,London,MNQ.F,short,27813.0,27825.5,27775.5,2,27825.5,-400
2026-05-06,London,M2K.F,short,2806.5,2816.5,2776.5,2,2816.5,-400
2026-05-06,London,M6E.F,long,1.1708,1.1708,1.1708,2,1.1708012,1200
2026-05-06,London,MCL.F,short,104.77,104.79,104.71,1,104.71,600
2026-05-06,London,MET.F,long,2371.0,1371.0,5371.0,1,2405.5,0
2026-05-06,London,SIL.F,long,73.275,73.075,73.875,1,73.875,600
2026-05-06,London,MGC.F,short,4548.4,4549.4,4545.4,2,4549.4,-400
2026-05-07,London,MNQ.F,short,28661.0,28673.5,28623.5,2,28673.5,-400
2026-05-07,London,M2K.F,short,2895.4,2905.4,2865.4,2,2894.89990234375,0
2026-05-07,London,M6E.F,short,1.1777,1.1777,1.1777,2,1.1777004,-400
2026-05-07,London,M6A.F,short,0.7237,0.7237,0.7237,2,0.723701,-400
2026-05-07,London,MCL.F,short,95.24,95.26,95.18,1,95.18,600
2026-05-07,London,MBT.F,long,81190.0,79190.0,87190.0,1,81405.0,0
2026-05-07,London,MET.F,long,2321.5,1321.5,5321.5,1,2340.0,0
2026-05-07,London,MGC.F,long,4548.4,4547.4,4551.4,2,4551.4,1200
2026-05-07,NY,MES.F,short,7399.75,7419.75,7339.75,2,7404.75,-400
2026-05-07,NY,MNQ.F,short,28744.0,28794.0,28594.0,2,28756.5,-400
2026-05-07,NY,M2K.F,long,2896.3,2876.3,2956.3,2,2886.3,-400
2026-05-07,NY,M6E.F,short,1.1793,1.1873,1.1553,2,1.1793004,-400
2026-05-07,NY,M6A.F,short,0.7249,0.7349,0.6949,2,0.724901,-400
2026-05-07,NY,MCL.F,long,90.56,88.56,96.56,1,90.62,600
2026-05-07,NY,MBT.F,short,81395.0,83395.0,75395.0,1,80350.0,0
2026-05-07,NY,MET.F,short,2340.0,4340.0,-3660.0,1,2302.5,0
2026-05-07,NY,MGC.F,short,4548.4,4558.4,4518.4,2,4549.4,-400
